source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_server_name,tls_ja3_hash,tls_cipher_suite_length,tls_cert_length,tls_issuer,tls_algorithm_id,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len
192.168.64.11,158.69.207.216,23,47964,9001,0xc030,13,www.ojeldmpwv5ikgi3f7cn5rf.com,83d60721ecc423892660e275acc4dffd,28,576,www.p7a73jny75.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,23.250.14.98,9,44520,443,0xc030,13,www.4pho5mteryyfstqkm.com,83d60721ecc423892660e275acc4dffd,28,570,www.2irc7rvp.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.125.188.54,60,50864,443,0x1302,46,api.snapcraft.io,df669e7ea913f1ac0c0cce9a201a2ec1,38,570,www.2irc7rvp.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,85.195.208.19,96,53674,9001,0xc030,13,www.bzvxkwwxl5bdmkrs2jnipaaf.com,83d60721ecc423892660e275acc4dffd,28,588,www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,85.195.208.19,22,53968,9001,0xc030,13,www.nbhsg4mhfvw2qefmlkz.com,83d60721ecc423892660e275acc4dffd,28,588,www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,158.69.207.216,40,48266,9001,0xc030,13,www.6ifxuzoaskjgnkzsxti5ftooi.com,83d60721ecc423892660e275acc4dffd,28,576,www.p7a73jny75.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,23.250.14.98,100,44828,443,0xc030,13,www.5uej.com,83d60721ecc423892660e275acc4dffd,28,570,www.2irc7rvp.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,85.195.208.19,58,53936,9001,0xc030,13,www.cqa2z55iofjusm3mjxjd64.com,83d60721ecc423892660e275acc4dffd,28,588,www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,158.69.207.216,37,48240,9001,0xc030,13,www.g6bwybbcyuvcj.com,83d60721ecc423892660e275acc4dffd,28,576,www.p7a73jny75.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,23.250.14.98,50,44796,443,0xc030,13,www.62dgndrzz.com,83d60721ecc423892660e275acc4dffd,28,570,www.2irc7rvp.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,23.250.14.98,2,44454,443,0xc030,13,www.62dgndrzz.com,83d60721ecc423892660e275acc4dffd,28,570,www.2irc7rvp.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,85.195.208.19,585,53606,9001,0xc030,13,www.gvm5pt6mvqz2.com,83d60721ecc423892660e275acc4dffd,28,570,www.2irc7rvp.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
