stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,label
20,192.168.64.11,82.65.58.162,88,36692,9001,0x0304,0x304,www.pl75.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
21,192.168.64.11,192.99.152.50,15,57062,9001,0x0304,0x304,www.bhufumhawvochhe2bj.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
23,192.168.64.11,185.242.181.140,30,55574,443,0x0304,0x304,www.qez3vfui6azijlazz4eqi6xxm.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
25,192.168.64.11,128.0.64.148,89,49156,443,0x0304,0x304,www.g7mxtluzobpycnl7.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
24,192.168.64.11,192.99.152.50,99,47150,9001,0x0304,0x304,www.7x3jt442istvk.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
26,192.168.64.11,82.65.58.162,101,55052,9001,0x0304,0x304,www.246772.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
27,192.168.64.11,192.99.152.50,14,47156,9001,0x0304,0x304,www.2mbaeegqapf4lw5qeif37mrbq.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
28,192.168.64.11,82.65.58.162,105,37778,9001,0x0304,0x304,www.u3roatekpvekr2xsalx7wyuhl.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
29,192.168.64.11,192.99.152.50,68,58144,9001,0x0304,0x304,www.yeen.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
30,192.168.64.11,192.99.152.50,11,47444,9001,0x0304,0x304,www.itb6tu6jy3fnstug.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
31,192.168.64.11,82.65.58.162,32,55344,9001,0x0304,0x304,www.hs33nj.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
32,192.168.64.11,82.65.58.162,78,37854,9001,0x0304,0x304,www.iek6a4666tbdhcunvn3.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
33,192.168.64.11,192.99.152.50,34,58236,9001,0x0304,0x304,www.u6j6ayuc5ruiwzbm.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
34,192.168.64.11,82.65.58.162,78,36496,9001,0x0304,0x304,www.7bglv3ugfzndevdcwlydu.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
35,192.168.64.11,192.99.152.50,33,56862,9001,0x0304,0x304,www.e6pvujo5lkvw.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
