stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash
95,192.168.64.11,158.69.207.216,25,48076,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.74i3biwz5dhu7vzb3m77.com,83d60721ecc423892660e275acc4dffd
96,192.168.64.11,23.250.14.98,20,44638,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.vv3l5e6ns5lor5d55j67hbm.com,83d60721ecc423892660e275acc4dffd
97,192.168.64.11,23.250.14.98,37,44802,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.n2x4uzvptm4z3dfkacjtiixc.com,83d60721ecc423892660e275acc4dffd
98,192.168.64.11,85.195.208.19,19,53960,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.g47zvlkx33u.com,83d60721ecc423892660e275acc4dffd
99,192.168.64.11,158.69.207.216,13,48258,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.7wuxh46nzp5ofnmfp.com,83d60721ecc423892660e275acc4dffd
100,192.168.64.11,85.195.208.19,34,53904,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.5jsdh2qurvbvc3knkjaekmlue.com,83d60721ecc423892660e275acc4dffd
101,192.168.64.11,158.69.207.216,30,48208,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ve2d7pp5se5w6nojhwi.com,83d60721ecc423892660e275acc4dffd
102,192.168.64.11,23.250.14.98,14,44764,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.eni4p.com,83d60721ecc423892660e275acc4dffd
103,192.168.64.11,23.250.14.98,36,44536,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ihpif4pf.com,83d60721ecc423892660e275acc4dffd
104,192.168.64.11,158.69.207.216,25,47984,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ci23upnouqx53j76xg.com,83d60721ecc423892660e275acc4dffd
105,192.168.64.11,85.195.208.19,32,53856,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.7jgoqe4whrg5rmpzxkbm.com,83d60721ecc423892660e275acc4dffd
