,stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,TOR
299,350,192.168.64.11,216.239.34.36,12,53166,443,0x0304,0x304,region1.google-analytics.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
301,354,192.168.64.11,52.84.93.86,65,33286,443,0x0304,0x304,getpocket.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
302,355,192.168.64.11,216.58.212.232,26,42946,443,0x0304,0x304,www.googletagmanager.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
303,356,192.168.64.11,104.16.149.64,23,39706,443,0x0304,0x304,cdn.cookielaw.org,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
304,358,192.168.64.11,151.101.62.217,16,44556,443,0x0303,0x304,fdyn.pubwise.io,17.0,False,True,6.0,2.0,,0xc02f,29.0,1.0,4.0,2.0,2870.0,2022-02-04 20:45:27 (UTC),2023-03-08 20:45:26 (UTC),38.0,579ccef312d18482fc42e2b822ca2430,0
305,357,192.168.64.11,151.101.62.217,10,44554,443,0x0303,0x304,fdyn.pubwise.io,17.0,False,True,6.0,2.0,,0xc02f,29.0,1.0,4.0,2.0,2870.0,2022-02-04 20:45:27 (UTC),2023-03-08 20:45:26 (UTC),38.0,579ccef312d18482fc42e2b822ca2430,0
306,360,192.168.64.11,13.224.245.62,25,33914,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
307,359,192.168.64.11,13.224.245.62,23,33912,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
308,364,192.168.64.11,13.224.245.62,25,33922,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
309,363,192.168.64.11,13.224.245.62,21,33920,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
