stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash
382,192.168.64.11,69.43.132.198,10,36944,443,0x0303,0x304,www.res-x.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,2,3042,2021-12-28 00:00:00 (UTC),2023-01-08 23:59:59 (UTC),26,579ccef312d18482fc42e2b822ca2430
395,192.168.64.11,2.18.84.142,13,37678,443,0x0303,0x304,684dd329.akstat.io,17.0,False,True,6.0,2,,0xc02c,29,1,4.0,2,2470,2022-04-15 00:00:00 (UTC),2023-04-19 23:59:59 (UTC),40,579ccef312d18482fc42e2b822ca2430
393,192.168.64.11,34.234.56.81,15,52064,443,0x0303,0x304,10964987.collect.igodigital.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4973,2022-01-13 00:00:00 (UTC),2023-02-11 23:59:59 (UTC),26,579ccef312d18482fc42e2b822ca2430
392,192.168.64.11,34.234.56.81,10,52062,443,0x0303,0x304,10964987.collect.igodigital.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4973,2022-01-13 00:00:00 (UTC),2023-02-11 23:59:59 (UTC),26,579ccef312d18482fc42e2b822ca2430
391,192.168.64.11,34.234.56.81,10,52060,443,0x0303,0x304,10964987.collect.igodigital.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4973,2022-01-13 00:00:00 (UTC),2023-02-11 23:59:59 (UTC),26,579ccef312d18482fc42e2b822ca2430
390,192.168.64.11,34.234.56.81,9,52058,443,0x0303,0x304,10964987.collect.igodigital.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4973,2022-01-13 00:00:00 (UTC),2023-02-11 23:59:59 (UTC),26,579ccef312d18482fc42e2b822ca2430
396,192.168.64.11,160.8.20.232,12,38212,443,0x0303,0x304,www.contactus.adidas.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,2,3045,2021-07-05 11:56:13 (UTC),2022-07-14 11:56:13 (UTC),15,579ccef312d18482fc42e2b822ca2430
397,192.168.64.11,172.217.169.6,9,46650,443,0x0304,0x304,3226898.fls.doubleclick.net,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
398,192.168.64.11,172.217.169.6,19,46652,443,0x0304,0x304,3226898.fls.doubleclick.net,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
399,192.168.64.11,142.250.187.228,8,48162,443,0x0304,0x304,www.google.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
400,192.168.64.11,142.250.187.228,18,48164,443,0x0304,0x304,www.google.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
401,192.168.64.11,104.17.208.240,9,54254,443,0x0304,0x304,siteintercept.qualtrics.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
404,192.168.64.11,2.19.61.22,15,41378,443,0x0304,0x304,ct.pinterest.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
405,192.168.64.11,2.19.61.22,11,41380,443,0x0304,0x304,ct.pinterest.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
408,192.168.64.11,35.190.43.134,32,34120,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
407,192.168.64.11,35.190.43.134,28,34118,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
406,192.168.64.11,35.190.43.134,8,34116,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
409,192.168.64.11,35.190.43.134,9,34122,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
410,192.168.64.11,35.190.43.134,9,34124,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
411,192.168.64.11,35.190.43.134,8,34126,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
412,192.168.64.11,35.190.43.134,9,34128,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
414,192.168.64.11,35.190.43.134,9,34132,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
413,192.168.64.11,35.190.43.134,9,34130,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
416,192.168.64.11,35.190.43.134,9,34136,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
415,192.168.64.11,35.190.43.134,9,34134,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
417,192.168.64.11,108.156.46.71,12,45276,443,0x0304,0x304,cache-ssl.celtra.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
419,192.168.64.11,34.254.119.178,16,53538,443,0x0303,0x304,collect-eu-west-1.tealiumiq.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4927,2021-09-23 00:00:00 (UTC),2022-10-21 23:59:59 (UTC),26,579ccef312d18482fc42e2b822ca2430
422,192.168.64.11,172.217.169.2,19,36906,443,0x0304,0x304,adservice.google.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
418,192.168.64.11,66.235.152.143,11,57852,443,0x0304,0x304,adidas.d3.sc.omtrdc.net,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
421,192.168.64.11,34.254.119.178,9,53542,443,0x0303,0x304,collect-eu-west-1.tealiumiq.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4927,2021-09-23 00:00:00 (UTC),2022-10-21 23:59:59 (UTC),26,579ccef312d18482fc42e2b822ca2430
420,192.168.64.11,172.217.169.2,9,36902,443,0x0304,0x304,adservice.google.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
423,192.168.64.11,34.234.56.81,9,52124,443,0x0303,0x304,nova.collect.igodigital.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4973,2022-01-13 00:00:00 (UTC),2023-02-11 23:59:59 (UTC),26,579ccef312d18482fc42e2b822ca2430
424,192.168.64.11,216.239.32.36,17,52738,443,0x0304,0x304,region1.google-analytics.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
425,192.168.64.11,52.28.49.226,7,40082,443,0x0303,0x304,celtraidentity.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4936,2021-11-12 00:00:00 (UTC),2022-12-10 23:59:59 (UTC),13,579ccef312d18482fc42e2b822ca2430
427,192.168.64.11,216.58.213.2,9,46378,443,0x0304,0x304,adservice.google.co.uk,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
426,192.168.64.11,216.58.213.2,15,46376,443,0x0304,0x304,adservice.google.co.uk,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
428,192.168.64.11,2.18.85.138,10,44992,443,0x0304,0x304,eu.qualtrics.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
430,192.168.64.11,3.123.252.45,8,46784,443,0x0303,0x304,track.celtra.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4935,2022-02-09 00:00:00 (UTC),2023-03-10 23:59:59 (UTC),13,579ccef312d18482fc42e2b822ca2430
429,192.168.64.11,3.123.252.45,8,46782,443,0x0303,0x304,track.celtra.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4935,2022-02-09 00:00:00 (UTC),2023-03-10 23:59:59 (UTC),13,579ccef312d18482fc42e2b822ca2430
431,192.168.64.11,34.76.9.209,33,51334,443,0x0303,0x304,adidasgroup-app.quantummetric.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,5669,2022-01-18 00:00:00 (UTC),2023-02-13 23:59:59 (UTC),34,579ccef312d18482fc42e2b822ca2430
