stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_cert_length,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash,tls_cipher_suite_length
101,192.168.64.11,3.81.232.90,10,33656,443,0x0303,1850,,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,usermatch.krxd.net,cd08e31494f9531f560d64c695473da9,
104,192.168.64.11,34.98.64.218,11,57334,443,0x0304,,,,0x1301,46,,,,,us-u.openx.net,cd08e31494f9531f560d64c695473da9,
103,192.168.64.11,18.165.201.50,13,44108,443,0x0304,,,,0x1301,46,,,,,sb.scorecardresearch.com,cd08e31494f9531f560d64c695473da9,
105,192.168.64.11,104.18.19.126,7,37084,443,0x0304,,,,0x1301,46,,,,,ssum-sec.casalemedia.com,cd08e31494f9531f560d64c695473da9,
106,192.168.64.11,3.74.119.102,10,46822,443,0x0303,1505,,1.2.840.113549.1.1.11,0xc02f,15,0x03,0x0017,65,65,lm.serving-sys.com,cd08e31494f9531f560d64c695473da9,
107,192.168.64.11,77.243.60.138,11,60618,443,0x0304,,,,0x1301,46,,,,,uipglob.semasio.net,cd08e31494f9531f560d64c695473da9,
108,192.168.64.11,37.252.173.22,9,58384,443,0x0303,1248,*.adnxs.com,1.2.840.10045.4.3.2,0xc02b,44,0x03,0x001d,32,32,ib.adnxs.com,cd08e31494f9531f560d64c695473da9,
109,192.168.64.11,185.64.189.110,8,36578,443,0x0303,1755,*.pubmatic.com,1.2.840.113549.1.1.11,0xc02f,24,,,,65,image2.pubmatic.com,cd08e31494f9531f560d64c695473da9,
111,192.168.64.11,213.19.162.80,8,36440,443,0x0303,1750,*.rubiconproject.com,1.2.840.113549.1.1.11,0x009d,24,,,,,token.rubiconproject.com,cd08e31494f9531f560d64c695473da9,
110,192.168.64.11,18.198.126.47,11,49446,443,0x0303,1731,*.exelator.com,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,loadus.exelator.com,cd08e31494f9531f560d64c695473da9,
113,192.168.64.11,151.101.62.132,10,42306,443,0x0304,,,,0x1301,46,,,,,pi.ispot.tv,cd08e31494f9531f560d64c695473da9,
114,192.168.64.11,142.250.187.194,12,41282,443,0x0304,,,,0x1301,46,,,,,googleads.g.doubleclick.net,cd08e31494f9531f560d64c695473da9,
115,192.168.64.11,185.64.190.78,12,41366,443,0x0303,1755,*.pubmatic.com,1.2.840.113549.1.1.11,0xc02f,24,0x03,0x0017,65,65,image6.pubmatic.com,cd08e31494f9531f560d64c695473da9,
116,192.168.64.11,141.226.228.48,12,40718,443,0x0303,1542,*.taboola.com,1.2.840.10045.4.3.3,0xc02b,38,0x03,0x001d,32,32,sync.taboola.com,cd08e31494f9531f560d64c695473da9,
112,192.168.64.11,45.79.188.190,8,54956,443,0x0303,1696,*.ninthdecimal.com,1.2.840.113549.1.1.11,0xc030,32,0x03,0x0017,65,65,lciapi.ninthdecimal.com,cd08e31494f9531f560d64c695473da9,
117,192.168.64.11,142.250.180.3,14,33338,443,0x0304,,,,0x1301,46,,,,,www.google.co.uk,cd08e31494f9531f560d64c695473da9,
124,192.168.64.11,91.198.174.194,13,35930,443,0x0304,,,,0x1302,46,,,,,wikipedia.com,cd08e31494f9531f560d64c695473da9,
125,192.168.64.11,91.198.174.194,7,35932,443,0x0304,,,,0x1302,46,,,,,wikipedia.com,cd08e31494f9531f560d64c695473da9,
126,192.168.64.11,91.198.174.192,17,49050,443,0x0304,,,,0x1302,46,,,,,www.wikipedia.org,cd08e31494f9531f560d64c695473da9,
128,192.168.64.11,91.198.174.208,6,46702,443,0x0304,,,,0x1302,46,,,,,upload.wikimedia.org,cd08e31494f9531f560d64c695473da9,
127,192.168.64.11,52.94.233.61,9,56772,443,0x0303,,,,0xc02f,5,,,,,unagi.amazon.com,cd08e31494f9531f560d64c695473da9,
129,192.168.64.11,91.198.174.192,6,49056,443,0x0304,,,,0x1302,46,,,,,en.wikipedia.org,cd08e31494f9531f560d64c695473da9,
